站點名稱,城市,AQI,狀態
屏東(枋山),屏東縣,174,對所有族群不健康
臺南（南化）,臺南市,80,普通
新北(樹林),新北市,49,良好
台中市（和平區）,臺中市,43,良好
屏東（琉球）,屏東縣,143,對敏感族群不健康
南投（鹿谷）,南投縣,55,普通
高雄（湖內）,高雄市,101,對敏感族群不健康
宜蘭（三星）,宜蘭縣,35,良好
員林,彰化縣,65,普通
大城,彰化縣,65,普通
富貴角,新北市,58,普通
麥寮,雲林縣,76,普通
關山,臺東縣,31,良好
馬公,澎湖縣,78,普通
金門,金門縣,77,普通
馬祖,連江縣,84,普通
埔里,南投縣,46,良好
復興,高雄市,113,對敏感族群不健康
永和,新北市,46,良好
竹山,南投縣,70,普通
中壢,桃園市,58,普通
三重,新北市,57,普通
冬山,宜蘭縣,40,良好
宜蘭,宜蘭縣,37,良好
陽明,臺北市,40,良好
花蓮,花蓮縣,35,良好
臺東,臺東縣,40,良好
恆春,屏東縣,40,良好
潮州,屏東縣,154,對所有族群不健康
屏東,屏東縣,115,對敏感族群不健康
小港,高雄市,108,對敏感族群不健康
前鎮,高雄市,101,對敏感族群不健康
前金,高雄市,115,對敏感族群不健康
左營,高雄市,104,對敏感族群不健康
楠梓,高雄市,104,對敏感族群不健康
林園,高雄市,150,對敏感族群不健康
大寮,高雄市,126,對敏感族群不健康
鳳山,高雄市,101,對敏感族群不健康
仁武,高雄市,118,對敏感族群不健康
橋頭,高雄市,100,普通
美濃,高雄市,87,普通
臺南,臺南市,92,普通
安南,臺南市,88,普通
善化,臺南市,91,普通
新營,臺南市,80,普通
嘉義,嘉義市,76,普通
臺西,雲林縣,54,普通
朴子,嘉義縣,72,普通
新港,嘉義縣,78,普通
崙背,雲林縣,70,普通
斗六,雲林縣,83,普通
南投,南投縣,64,普通
二林,彰化縣,70,普通
線西,彰化縣,58,普通
彰化,彰化縣,63,普通
西屯,臺中市,59,普通
忠明,臺中市,56,普通
大里,臺中市,58,普通
沙鹿,臺中市,63,普通
豐原,臺中市,54,普通
三義,苗栗縣,51,普通
苗栗,苗栗縣,66,普通
頭份,苗栗縣,58,普通
新竹,新竹市,54,普通
竹東,新竹縣,42,良好
湖口,新竹縣,54,普通
龍潭,桃園市,57,普通
平鎮,桃園市,55,普通
觀音,桃園市,57,普通
大園,桃園市,62,普通
桃園,桃園市,44,良好
大同,臺北市,57,普通
松山,臺北市,47,良好
古亭,臺北市,44,良好
萬華,臺北市,49,良好
中山,臺北市,51,普通
士林,臺北市,45,良好
淡水,新北市,38,良好
林口,新北市,43,良好
菜寮,新北市,41,良好
新莊,新北市,48,良好
板橋,新北市,52,普通
土城,新北市,51,普通
新店,新北市,52,普通
汐止,新北市,54,普通
基隆,基隆市,51,普通
屏東(枋山),屏東縣,164,對所有族群不健康
臺南（南化）,臺南市,74,普通
新北(樹林),新北市,51,普通
台中市（和平區）,臺中市,42,良好
屏東（琉球）,屏東縣,132,對敏感族群不健康
南投（鹿谷）,南投縣,47,良好
高雄（湖內）,高雄市,104,對敏感族群不健康
宜蘭（三星）,宜蘭縣,33,良好
員林,彰化縣,63,普通
大城,彰化縣,66,普通
富貴角,新北市,58,普通
麥寮,雲林縣,80,普通
關山,臺東縣,31,良好
馬公,澎湖縣,76,普通
金門,金門縣,77,普通
馬祖,連江縣,77,普通
埔里,南投縣,43,良好
復興,高雄市,124,對敏感族群不健康
永和,新北市,43,良好
竹山,南投縣,67,普通
中壢,桃園市,57,普通
三重,新北市,54,普通
冬山,宜蘭縣,43,良好
宜蘭,宜蘭縣,36,良好
陽明,臺北市,40,良好
花蓮,花蓮縣,33,良好
臺東,臺東縣,38,良好
恆春,屏東縣,40,良好
潮州,屏東縣,150,對敏感族群不健康
屏東,屏東縣,104,對敏感族群不健康
小港,高雄市,116,對敏感族群不健康
前鎮,高雄市,110,對敏感族群不健康
前金,高雄市,115,對敏感族群不健康
左營,高雄市,105,對敏感族群不健康
楠梓,高雄市,100,普通
林園,高雄市,146,對敏感族群不健康
大寮,高雄市,118,對敏感族群不健康
鳳山,高雄市,103,對敏感族群不健康
仁武,高雄市,115,對敏感族群不健康
橋頭,高雄市,95,普通
美濃,高雄市,84,普通
臺南,臺南市,96,普通
安南,臺南市,86,普通
善化,臺南市,91,普通
新營,臺南市,73,普通
嘉義,嘉義市,75,普通
臺西,雲林縣,54,普通
朴子,嘉義縣,72,普通
新港,嘉義縣,76,普通
崙背,雲林縣,68,普通
斗六,雲林縣,81,普通
南投,南投縣,58,普通
二林,彰化縣,70,普通
線西,彰化縣,58,普通
彰化,彰化縣,64,普通
西屯,臺中市,61,普通
忠明,臺中市,53,普通
大里,臺中市,59,普通
沙鹿,臺中市,59,普通
豐原,臺中市,55,普通
三義,苗栗縣,48,良好
苗栗,苗栗縣,67,普通
頭份,苗栗縣,58,普通
新竹,新竹市,52,普通
竹東,新竹縣,39,良好
湖口,新竹縣,53,普通
龍潭,桃園市,51,普通
平鎮,桃園市,52,普通
觀音,桃園市,58,普通
大園,桃園市,63,普通
桃園,桃園市,42,良好
大同,臺北市,52,普通
松山,臺北市,45,良好
古亭,臺北市,40,良好
萬華,臺北市,51,普通
中山,臺北市,46,良好
士林,臺北市,45,良好
淡水,新北市,35,良好
林口,新北市,43,良好
菜寮,新北市,41,良好
新莊,新北市,47,良好
板橋,新北市,48,良好
土城,新北市,46,良好
新店,新北市,48,良好
汐止,新北市,53,普通
基隆,基隆市,42,良好
屏東(枋山),屏東縣,146,對敏感族群不健康
臺南（南化）,臺南市,69,普通
新北(樹林),新北市,52,普通
台中市（和平區）,臺中市,38,良好
屏東（琉球）,屏東縣,118,對敏感族群不健康
南投（鹿谷）,南投縣,42,良好
高雄（湖內）,高雄市,110,對敏感族群不健康
宜蘭（三星）,宜蘭縣,31,良好
員林,彰化縣,62,普通
大城,彰化縣,67,普通
富貴角,新北市,58,普通
麥寮,雲林縣,80,普通
關山,臺東縣,29,良好
馬公,澎湖縣,75,普通
金門,金門縣,77,普通
馬祖,連江縣,75,普通
埔里,南投縣,37,良好
復興,高雄市,133,對敏感族群不健康
永和,新北市,43,良好
竹山,南投縣,64,普通
中壢,桃園市,54,普通
三重,新北市,52,普通
冬山,宜蘭縣,44,良好
宜蘭,宜蘭縣,33,良好
陽明,臺北市,40,良好
花蓮,花蓮縣,31,良好
臺東,臺東縣,37,良好
恆春,屏東縣,40,良好
潮州,屏東縣,122,對敏感族群不健康
屏東,屏東縣,84,普通
小港,高雄市,124,對敏感族群不健康
前鎮,高雄市,115,對敏感族群不健康
前金,高雄市,101,對敏感族群不健康
左營,高雄市,115,對敏感族群不健康
楠梓,高雄市,98,普通
林園,高雄市,126,對敏感族群不健康
大寮,高雄市,125,對敏感族群不健康
鳳山,高雄市,109,對敏感族群不健康
仁武,高雄市,97,普通
