出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1110912,11108,1100,測試公司1,光電業,304759,318466,267547,-4.30407,13.908584,2133313,2205213,-3.260456,季節性因素
1110912,11108,1101,測試公司2,半導體業,3759644,3663471,3596154,2.625188,4.546246,30077152,25988772,15.731332,營收成長
1110912,11108,1102,測試公司3,半導體業,5033473,4088464,3916409,23.114035,28.522659,25167365,22372630,12.491759,-
1110912,11108,1103,測試公司4,半導體業,7462356,6628245,6826115,12.584191,9.32069,59698848,52176597,14.416906,營收成長
1110912,11108,1104,測試公司5,半導體業,1025358,866498,1160113,18.333568,-11.615679,5126790,4569084,12.206079,營收成長
1110912,11108,1105,測試公司6,水泥工業,5923725,4961681,7648633,19.389477,-22.551847,41466075,41216642,0.605175,-
1110912,11108,1106,測試公司7,電子零組件業,4750067,4538366,5638788,4.664697,-15.760851,38000536,36246087,4.840382,季節性因素
1110912,11108,1107,測試公司8,半導體業,5951329,7097351,4405889,-16.147179,35.076689,29756645,33203506,-10.381015,-
1110912,11108,1108,測試公司9,光電業,3075842,3485783,2536872,-11.760371,21.245455,21530894,24707385,-12.856444,營收下滑
1110912,11108,1109,測試公司10,水泥工業,4427413,5178047,5730398,-14.496469,-22.738124,35419304,30886057,14.677325,營收下滑
1110912,11108,1110,測試公司11,電子零組件業,7155309,8203047,5349259,-12.772547,33.76262,57242472,55331824,3.453073,需求增加
1110912,11108,1111,測試公司12,電子零組件業,7905739,6444395,8625175,22.676202,-8.341118,39528695,36284260,8.941715,營收成長
1110912,11108,1112,測試公司13,其他電子業,4154549,3372900,3078011,23.17439,34.975119,20772745,23084518,-10.014387,需求增加
1110912,11108,1113,測試公司14,水泥工業,9593284,8361838,9812606,14.726977,-2.235105,47966420,48100782,-0.279334,季節性因素
1110912,11108,1114,測試公司15,其他電子業,5554139,4862793,6918978,14.217056,-19.72602,38878973,33975482,14.43244,營收成長
1110912,11108,1115,測試公司16,電子零組件業,576634,582895,659384,-1.074121,-12.549592,2883170,2563030,12.490685,需求增加
1110912,11108,1116,測試公司17,其他電子業,5124270,5991885,6311484,-14.479834,-18.810378,30745620,28823538,6.668446,營收下滑
