
﻿statistic_yyy,site_id,people_total,area,population_density
113,新北市板橋區,553538,23.1373,23924
113,新北市三重區,383355,16.3170,23494
113,新北市中和區,405956,20.1440,20153
113,新北市永和區,213742,5.7138,37408
113,新北市新莊區,423503,19.7383,21456
113,新北市新店區,306571,120.2255,2550
113,新北市樹林區,178981,33.1288,5403
113,新北市鶯歌區,89339,21.1248,4229
113,新北市三峽區,115335,191.4508,602
113,新北市淡水區,200726,70.6565,2841
113,新北市汐止區,210817,71.2354,2959
113,新北市瑞芳區,36330,70.7336,514
113,新北市土城區,241224,29.5578,8161
113,新北市蘆洲區,198359,7.4351,26679
113,新北市五股區,93860,34.8632,2692
113,新北市泰山區,77667,19.1603,4054
113,新北市林口區,136075,54.1519,2513
113,新北市深坑區,23636,20.5787,1149
113,新北市石碇區,7068,144.3498,49
113,新北市坪林區,6324,170.8350,37
113,新北市三芝區,22080,65.9909,335
113,新北市石門區,10397,51.2645,203
113,新北市八里區,42674,39.4933,1081
113,新北市平溪區,4049,71.3382,57
113,新北市雙溪區,7686,146.2484,53
113,新北市貢寮區,10719,99.9734,107
113,新北市金山區,20059,49.2132,408
113,新北市萬里區,20622,63.3766,325
113,新北市烏來區,6309,321.1306,20
113,臺北市松山區,191826,9.2878,20654
113,臺北市信義區,205067,11.2077,18297
113,臺北市大安區,289908,11.3614,25517
113,臺北市中山區,215245,13.6821,15732
113,臺北市中正區,148375,7.6071,19505
113,臺北市大同區,118992,5.6815,20944
113,臺北市萬華區,171915,8.8522,19421
113,臺北市文山區,258333,31.5090,8199
113,臺北市南港區,112643,21.8424,5157
113,臺北市內湖區,273748,31.5787,8669
113,臺北市士林區,264194,62.3682,4236
113,臺北市北投區,240623,56.8216,4235
113,桃園市桃園區,475798,34.8046,13671
113,桃園市中壢區,435050,76.5200,5685
113,桃園市大溪區,94404,105.1206,898
113,桃園市楊梅區,181526,89.1229,2037
113,桃園市蘆竹區,169936,75.5025,2251
113,桃園市大園區,88166,87.3925,1009
113,桃園市龜山區,183895,72.0177,2553
113,桃園市八德區,214690,33.7111,6369
113,桃園市龍潭區,127270,75.2341,1692
113,桃園市平鎮區,229389,47.7532,4804
113,桃園市新屋區,49389,85.0166,581
113,桃園市觀音區,75874,87.9807,862
113,桃園市復興區,13261,350.7775,38
113,臺中市中區,17904,0.8803,20339
113,臺中市東區,77688,9.2855,8367
113,臺中市南區,127188,6.8101,18676
113,臺中市西區,113890,5.7042,19966
113,臺中市北區,143568,6.9376,20694
113,臺中市西屯區,236821,39.8467,5943
113,臺中市南屯區,185192,31.2578,5925
113,臺中市北屯區,310965,62.7034,4959
113,臺中市豐原區,163163,41.1845,3962
113,臺中市東勢區,47088,117.4065,401
113,臺中市大甲區,74206,58.5192,1268
113,臺中市清水區,90501,64.1709,1410
113,臺中市沙鹿區,100152,40.4604,2475
113,臺中市梧棲區,62701,16.6049,3776
113,臺中市后里區,53309,58.9439,904
113,臺中市神岡區,64007,35.0445,1826
113,臺中市潭子區,109415,25.8497,4233
113,臺中市大雅區,95229,32.4109,2938
113,臺中市新社區,22849,68.8874,332
113,臺中市石岡區,13877,18.2105,762
113,臺中市外埔區,30902,42.4099,729
113,臺中市大安區,17793,27.4045,649
113,臺中市烏日區,81284,43.4032,1873
113,臺中市大肚區,55708,37.0024,1506
113,臺中市龍井區,79030,38.0377,2078
113,臺中市霧峰區,63342,98.0779,646
113,臺中市太平區,200007,120.7473,1656
113,臺中市大里區,212166,28.8758,7348
113,臺中市和平區,10656,1037.8192,10
113,臺南市新營區,74782,38.5386,1940
113,臺南市鹽水區,23969,52.2455,459
113,臺南市白河區,25393,126.4046,201
113,臺南市柳營區,20007,61.2929,326
113,臺南市後壁區,21292,72.2189,295
113,臺南市東山區,18836,124.9178,151
113,臺南市麻豆區,43036,53.9744,797
113,臺南市下營區,22077,33.5291,658
113,臺南市六甲區,21110,67.5471,313
113,臺南市官田區,20669,70.7953,292
113,臺南市大內區,8588,70.3125,122
113,臺南市佳里區,58470,38.9422,1501
113,臺南市學甲區,24537,53.9919,454
113,臺南市西港區,25004,33.7666,740
113,臺南市七股區,20760,110.1492,188
113,臺南市將軍區,18070,41.9796,430
113,臺南市北門區,9712,44.1003,220
113,臺南市新化區,42292,62.0579,681
113,臺南市善化區,53300,55.3097,964
113,臺南市新市區,37913,47.8096,793
113,臺南市安定區,29842,31.2700,954
113,臺南市山上區,6916,27.8780,248
113,臺南市玉井區,12830,76.3662,168
113,臺南市楠西區,8532,109.6316,78
113,臺南市南化區,7786,171.5198,45
113,臺南市左鎮區,4124,74.9025,55
113,臺南市仁德區,77574,50.7664,1528
113,臺南市歸仁區,69818,55.7913,1251
113,臺南市關廟區,33048,53.6413,616
113,臺南市龍崎區,3352,64.0814,52
113,臺南市永康區,235623,40.2753,5850
113,臺南市東區,181962,13.4156,13563
113,臺南市南區,120323,27.2681,4413
113,臺南市北區,125821,10.4340,12059
113,臺南市安南區,203838,107.2016,1901
113,臺南市安平區,70321,11.0663,6355
113,臺南市中西區,77124,6.2600,12320
