trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20200101,914,2501,2654
20200101,969,2518,2604
20200101,7304,1554,1635
20200101,7349,1576,1678
20200101,7371,1546,1719
20200102,920,2534,2828
20200102,944,2522,2979
20200102,952,2560,2619
20200102,971,2536,2702
20200102,7327,1630,1689
20200102,7332,1585,1829
20200103,952,2558,2457
20200103,975,2595,2630
20200103,7385,1739,1703
20200104,912,1965,1879
20200104,933,1897,2099
20200104,968,1940,2179
20200104,7350,1172,1198
20200104,7376,1150,1328
20200104,7386,1134,1268
20200105,914,1914,1983
20200105,7309,1181,1188
20200105,7343,1112,1242
20200106,914,2489,2392
20200106,920,2591,2529
20200106,924,2484,2655
20200106,7309,1615,1818
20200106,7311,1622,1619
20200106,7344,1604,1720
20200106,7388,1626,1525
20200107,973,2557,2777
20200108,917,2472,2622
20200108,942,2647,2552
20200108,946,2559,2735
20200108,7315,1569,1766
20200109,902,2528,2626
20200109,929,2472,2586
20200109,941,2528,2342
20200109,7300,1681,1760
20200109,7349,1559,1765
20200109,7367,1601,1773
20200109,7388,1535,1372
20200110,944,2642,2980
20200110,7305,1563,1388
20200110,7337,1573,1606
20200110,7383,1564,1817
20200111,929,1856,1716
20200111,943,1903,2098
20200111,7300,1184,1220
20200112,947,1900,2292
20200112,969,1889,2013
20200112,976,1996,2174
20200112,7345,1137,1122
20200113,963,2595,2621
20200113,973,2505,2758
20200113,986,2518,2537
20200113,7318,1588,1537
20200113,7361,1564,1407
20200113,7396,1577,1595
20200113,7397,1679,1625
20200114,964,2520,2725
20200114,7304,1608,1562
20200114,7316,1566,1610
20200114,7349,1671,1654
20200114,7391,1567,1673
20200115,953,2584,2668
20200115,7375,1615,1756
20200115,7377,1598,1523
20200116,912,2599,2436
20200116,955,2648,2740
20200116,7327,1646,1729
20200116,7329,1568,1593
20200117,934,2534,2724
20200117,948,2524,2696
20200117,987,2528,2726
20200118,916,1907,2224
20200118,950,1883,1915
20200118,7307,1197,1137
20200118,7330,1190,1330
20200118,7373,1200,1189
20200118,7382,1177,1261
20200118,7390,1233,1497
20200119,957,1897,1918
20200119,7326,1188,1184
20200120,923,2497,2643
20200120,944,2436,2426
20200120,946,2494,2597
20200120,994,2587,2970
20200121,920,2537,2879
20200121,944,2563,2784
20200121,7319,1607,1589
20200121,7384,1622,1664
20200121,7392,1555,1751
20200122,7314,1536,1288
20200122,7327,1668,1516
20200122,7345,1567,1713
20200122,7346,1633,1520
20200122,7391,1583,1533
20200123,931,2549,2690
20200123,7309,1591,1561
20200123,7318,1550,1362
20200123,7322,1601,1796
20200123,7333,1614,1804
20200123,7393,1588,1728
20200124,922,2673,2509
20200124,945,2579,2501
20200124,7308,1506,1471
20200124,7324,1550,1691
20200124,7367,1623,1806
20200124,7376,1614,1498
20200125,936,1889,2100
20200125,993,1879,1853
20200126,934,1942,2128
20200126,987,1818,1890
20200127,944,2548,2650
20200128,949,2496,2482
20200128,955,2531,2703
20200128,988,2534,2526
20200128,7300,1600,1729
20200128,7336,1593,1596
20200129,930,2601,2711
20200129,994,2568,2673
20200129,7305,1578,1803
20200129,7333,1645,1539
