stationCode,stationName,name,stationAddrTw,stationTel,gps,haveBike
900,基隆,基隆,基隆市仁愛區港西街5號,02-24263743,"25.07276,121.73058",N
910,三坑,三坑,基隆市仁愛區德厚里龍安街206號,02-24263743,"25.07288,121.74426",N
920,八堵,八堵,基隆市暖暖區八堵路142號,02-24263743,"25.10092,121.75534",Y
930,七堵,七堵,基隆市七堵區長興里東新街2號,02-24263743,"25.13200,121.72657",Y
940,百福,百福,基隆市七堵區堵南里明德三路1之1號,02-24263743,"25.10636,121.72682",Y
7360,瑞芳,瑞芳,新北市瑞芳區鐵道里明燈路三段82號,02-24263743,"25.08267,121.78047",N
7361,海科館,海科館,基隆市中正區長潭里,02-24263743,"25.12956,121.71585",Y
7362,八斗子,八斗子,新北市瑞芳區建基路2段121號,02-24263743,"25.13603,121.77295",Y
7380,四腳亭,四腳亭,新北市瑞芳區吉慶里中央路65號,02-24263743,"25.06550,121.80381",Y
7390,暖暖,暖暖,基隆市暖暖區暖暖街281號,02-24263743,"25.06437,121.74150",Y
