total_bill,tip,smoker,day,time,size
21.85,3.86,Yes,Thur,Dinner,2
47.78,1.99,Yes,Mon,Lunch,1
37.94,3.05,No,Wed,Dinner,2
31.94,4.84,Yes,Mon,Dinner,3
12.02,8.36,Yes,Fri,Dinner,2
12.02,8.75,No,Tue,Dinner,2
7.61,1.06,Yes,Sun,Dinner,5
43.98,5.6,Yes,Sat,Lunch,5
32.05,4.76,Yes,Tue,Lunch,5
36.86,3.0,No,Wed,Lunch,3
5.93,2.08,Yes,Mon,Dinner,5
48.65,4.04,No,Sat,Dinner,1
42.46,9.49,Yes,Mon,Lunch,4
14.56,3.91,Yes,Thur,Dinner,1
13.18,5.67,Yes,Mon,Lunch,1
13.25,7.33,No,Thur,Lunch,5
18.69,4.27,Yes,Fri,Lunch,4
28.61,9.75,Yes,Sat,Dinner,4
24.44,9.66,No,Sat,Dinner,4
18.11,3.27,Yes,Sun,Lunch,3
32.53,5.48,No,Wed,Lunch,5
11.28,3.71,No,Thur,Lunch,4
18.15,3.56,Yes,Sun,Lunch,3
21.49,1.33,No,Mon,Dinner,2
25.52,6.49,Yes,Mon,Dinner,2
40.33,5.52,No,Sun,Lunch,3
13.99,1.46,No,Sat,Lunch,3
28.14,3.51,Yes,Mon,Dinner,5
31.66,9.17,No,Fri,Dinner,5
7.09,3.16,No,Fri,Lunch,2
32.34,2.3,No,Sun,Lunch,4
12.67,5.41,No,Thur,Lunch,2
7.93,9.87,No,Thur,Dinner,4
47.7,3.18,Yes,Sun,Dinner,4
48.45,7.05,No,Thur,Dinner,5
41.38,7.85,Yes,Sat,Lunch,1
18.71,3.14,No,Sat,Lunch,1
9.4,7.55,Yes,Thur,Dinner,3
35.79,4.31,Yes,Fri,Dinner,5
24.81,6.69,No,Thur,Lunch,4
10.49,6.7,No,Sat,Dinner,1
27.28,5.82,No,Tue,Dinner,4
6.55,1.81,Yes,Wed,Lunch,1
45.92,8.52,No,Mon,Dinner,1
16.65,3.89,Yes,Tue,Lunch,1
34.81,2.68,Yes,Thur,Lunch,5
19.03,1.37,Yes,Fri,Lunch,2
28.4,6.32,No,Sun,Lunch,4
29.6,7.1,No,Thur,Lunch,5
13.32,1.15,Yes,Fri,Lunch,5
48.63,5.61,Yes,Wed,Lunch,5
39.88,3.04,No,Thur,Dinner,5
47.28,6.81,Yes,Sat,Lunch,5
45.27,2.57,No,Sun,Lunch,3
31.91,7.22,Yes,Fri,Dinner,4
46.48,4.48,No,Fri,Dinner,5
8.98,9.43,Yes,Fri,Dinner,4
13.82,2.24,No,Wed,Lunch,3
7.04,4.07,Yes,Thur,Dinner,3
19.64,2.02,No,Wed,Lunch,4
22.49,9.32,No,Mon,Lunch,1
17.21,8.9,Yes,Mon,Lunch,2
42.29,3.32,Yes,Thur,Lunch,1
21.05,6.94,No,Sat,Dinner,1
17.64,8.35,Yes,Wed,Dinner,1
29.42,6.0,No,Sun,Lunch,5
11.34,5.77,Yes,Fri,Lunch,3
41.1,3.18,No,Fri,Lunch,1
8.35,1.84,No,Thur,Dinner,3
49.41,9.07,No,Sat,Lunch,4
39.75,9.1,No,Mon,Lunch,2
13.94,6.7,No,Mon,Dinner,4
5.25,4.05,No,Fri,Dinner,4
41.7,4.14,Yes,Thur,Lunch,5
36.81,7.53,Yes,Wed,Dinner,2
37.81,9.07,Yes,Mon,Dinner,4
39.71,8.98,No,Wed,Lunch,4
8.33,8.02,No,Sat,Dinner,2
21.13,6.78,No,Mon,Lunch,2
10.21,1.76,No,Mon,Dinner,4
43.84,2.45,Yes,Tue,Lunch,2
33.05,9.09,Yes,Mon,Lunch,4
19.89,6.46,No,Sun,Lunch,4
7.86,1.08,Yes,Thur,Dinner,5
18.99,1.91,Yes,Thur,Lunch,1
19.63,6.97,No,Wed,Dinner,4
37.83,1.05,Yes,Sat,Lunch,3
33.69,2.45,No,Mon,Lunch,1
44.92,5.94,Yes,Sun,Dinner,1
26.25,7.23,No,Wed,Lunch,1
10.38,6.87,No,Tue,Lunch,5
37.1,3.02,No,Wed,Dinner,4
39.24,7.41,No,Wed,Lunch,5
30.26,3.14,Yes,Mon,Lunch,4
39.69,3.93,No,Tue,Lunch,5
27.22,7.72,No,Wed,Lunch,5
28.52,6.85,No,Sun,Dinner,3
24.24,8.64,Yes,Sun,Dinner,5
6.14,6.92,No,Thur,Lunch,2
9.86,6.11,Yes,Tue,Dinner,3
6.41,1.84,No,Tue,Lunch,5
33.64,4.31,Yes,Thur,Dinner,1
19.15,3.39,Yes,Wed,Lunch,2
27.89,3.2,No,Tue,Lunch,2
45.84,9.76,Yes,Sun,Lunch,2
16.22,4.54,No,Sun,Lunch,3
23.47,9.03,No,Mon,Lunch,5
39.0,6.68,No,Tue,Lunch,5
15.3,8.15,Yes,Wed,Dinner,1
8.46,5.52,Yes,Thur,Lunch,1
18.04,6.19,No,Thur,Dinner,2
12.25,5.43,No,Wed,Lunch,1
46.84,2.76,Yes,Sat,Dinner,3
41.37,7.5,No,Fri,Dinner,5
33.5,3.53,No,Mon,Dinner,2
44.22,1.22,No,Thur,Lunch,1
41.17,6.81,Yes,Tue,Lunch,3
13.4,2.59,Yes,Mon,Dinner,3
45.17,9.46,Yes,Tue,Lunch,1
29.27,9.59,No,Sat,Dinner,5
41.33,9.23,No,Sun,Lunch,1
45.32,4.33,No,Mon,Dinner,2
